1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,class
n,y,n,y,y,y,n,n,n,y,?,y,y,y,n,y,republican
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,?,republican
?,y,y,?,y,y,n,n,n,n,y,n,y,y,n,n,democrat
n,y,y,n,?,y,n,n,n,n,y,n,y,n,n,y,democrat
y,y,y,n,y,y,n,n,n,n,y,?,y,y,y,y,democrat
n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y,democrat
n,y,n,y,y,y,n,n,n,n,n,n,?,y,y,y,democrat
n,y,n,y,y,y,n,n,n,n,n,n,y,y,?,y,republican
n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y,republican
y,y,y,n,n,n,y,y,y,n,n,n,n,n,?,?,democrat
n,y,n,y,y,n,n,n,n,n,?,?,y,y,n,n,republican
n,y,n,y,y,y,n,n,n,n,y,?,y,y,?,?,republican
n,y,y,n,n,n,y,y,y,n,n,n,y,n,?,?,democrat
y,y,y,n,n,y,y,y,?,y,y,?,n,n,y,?,democrat
n,y,n,y,y,y,n,n,n,n,n,y,?,?,n,?,republican
n,y,n,y,y,y,n,n,n,y,n,y,y,?,n,?,republican
y,n,y,n,n,y,n,y,?,y,y,y,?,n,n,y,democrat
y,?,y,n,n,n,y,y,y,n,n,n,y,n,y,y,democrat
n,y,n,y,y,y,n,n,n,n,n,?,y,y,n,n,republican
y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y,democrat
